,Time
787,2007-11-24T15:02:39.981000
788,2007-11-24T19:43:51.595000
789,2007-11-24T21:35:35.472000
790,2007-11-24T21:51:39.976000
791,2007-11-25T04:27:27.292000
792,2007-11-25T09:10:28.282000
793,2007-11-25T16:05:45.738
794,2007-11-25T17:44:00.576
795,2007-11-26T05:32:29.099
796,2007-11-26T07:33:36.148000
797,2007-11-26T12:27:22.256
798,2007-11-26T14:04:26.979000
799,2007-11-26T20:43:05.967000
800,2007-11-27T01:43:55.522000
801,2007-11-27T03:42:05.089000
802,2007-11-27T08:37:03.337000
803,2007-11-27T10:30:41.056
804,2007-11-27T22:10:30.972
805,2007-11-27T23:54:50.928000
806,2007-11-28T04:45:13.387000
807,2007-11-28T06:33:56.171000
808,2007-11-28T11:34:36.344000
809,2007-11-28T13:39:15.342
810,2007-11-28T18:18:27.057000
811,2007-11-28T20:05:53.775000
812,2007-11-29T01:09:40.492000
813,2007-11-29T02:59:19.743000
814,2007-11-29T07:54:40.262000
815,2007-11-29T09:41:22.170000
816,2007-11-29T14:41:45.387000
817,2007-11-29T16:25:03.042000
818,2007-11-29T21:20:16.536000
819,2007-11-29T23:14:32.759000
820,2007-11-30T04:05:40.962000
821,2007-11-30T05:58:53.372000
822,2007-11-30T10:56:02.304
823,2007-11-30T12:48:15.558
824,2007-11-30T17:47:23.847000
825,2007-11-30T19:39:03.725000
